edge_kind,epsilon,amplitude_scale,decay_only_baseline_fidelity,process_fidelity,delta_from_decay_only,process_infidelity,no_jump_average_fidelity,active_population,loss_proxy,cz_phase_error_rad
gaussian,0.015,1.015,0.9992240060555032,0.9982822241431292,-0.0009417819123740401,0.001717775856870829,0.9983870371246286,0.9988062890506264,0.0011937109493735942,-0.0032169075190102703
gaussian,0.016,1.016,0.9992240060555032,0.998153892190938,-0.0010701138645652364,0.0018461078090620253,0.9982730941748901,0.9987499021106989,0.0012500978893010828,-0.0035957133025568133
gaussian,0.017,1.017,0.9992240060555032,0.9980175102649973,-0.0012064957905059126,0.0019824897350027015,0.998152025767272,0.9986900877763705,0.001309912223629528,-0.003985412183768577
gaussian,0.018000000000000002,1.018,0.9992240060555032,0.997873104759254,-0.0013509012962492628,0.0021268952407460517,0.9980238581885983,0.9986268719059755,0.0013731280940244561,-0.004385939234796243
gaussian,0.019000000000000003,1.019,0.9992240060555032,0.9977207023062031,-0.0015033037493000778,0.0022792976937968668,0.9978886179758648,0.9985602806545119,0.001439719345488144,-0.0047972290394286965
gaussian,0.020000000000000004,1.02,0.9992240060555032,0.997560329775316,-0.001663676280187265,0.002439670224684054,0.9977463319147788,0.9984903404726304,0.001509659527369589,-0.005219215701384172
gaussian,0.021000000000000005,1.021,0.9992240060555032,0.9973920142714553,-0.001831991784047915,0.002607985728544704,0.9975970270382781,0.9984170781055691,0.0015829218944308776,-0.005651832852676897
gaussian,0.022000000000000006,1.022,0.9992240060555032,0.9972157831332834,-0.0020082229222198045,0.0027842168667165934,0.9974407306250322,0.9983405205920278,0.0016594794079721753,-0.006095013662014814
gaussian,0.022999999999999993,1.023,0.9992240060555032,0.9970316639316366,-0.002192342123866653,0.002968336068363442,0.9972774701979035,0.9982606952629713,0.0017393047370286574,-0.006548690843294569
gaussian,0.023999999999999994,1.024,0.9992240060555032,0.9968396844678832,-0.0023843215876200308,0.0031603155321168197,0.9971072735223785,0.99817762974036,0.0018223702596400493,-0.007012796664134235
gaussian,0.024999999999999994,1.025,0.9992240060555032,0.996639872772272,-0.0025841332832312602,0.003360127227728049,0.9969301686049834,0.9980913519358293,0.0019086480641706816,-0.00748726295447133
gaussian,0.025999999999999995,1.026,0.9992240060555032,0.9964322571022525,-0.002791748953250739,0.003567742897747528,0.9967461836916609,0.9980018900492946,0.0019981099507053734,-0.00797202111523232
gaussian,0.026999999999999996,1.027,0.9992240060555032,0.9962168659407834,-0.0030071401147198085,0.0037831340592165974,0.9965553472661254,0.9979092725674932,0.0020907274325068226,-0.008467002127056755
gaussian,0.027999999999999997,1.028,0.9992240060555032,0.9959937279946056,-0.0032302780608975956,0.0040062720053943845,0.9963576880481737,0.9978135282624462,0.002186471737553819,-0.008972136559081356
gaussian,0.028999999999999998,1.029,0.9992240060555032,0.9957628721925301,-0.003461133862973087,0.004237127807469876,0.9961532349920024,0.9977146861898909,0.002285313810109102,-0.009487354577794704
gaussian,0.03,1.03,0.9992240060555032,0.9955243276836646,-0.0036996783718385995,0.004475672316335388,0.9959420172844513,0.9976127756875982,0.0023872243124017922,-0.010012585955954556
gaussian,0.031,1.031,0.9992240060555032,0.9952781238356653,-0.003945882219837937,0.004721876164334726,0.9957240643432671,0.9975078263736743,0.0024921736263257,-0.010547760081559776
gaussian,0.032,1.032,0.9992240060555032,0.9950242902329298,-0.004199715822573391,0.00497570976707018,0.995499405815294,0.9973998681447503,0.0026001318552496544,-0.011092805966899544
gaussian,0.033,1.033,0.9992240060555032,0.9947628566748007,-0.004461149380702523,0.005237143325199312,0.9952680715746691,0.9972889311741432,0.0027110688258568105,-0.011647652257650964
gaussian,0.034,1.034,0.9992240060555032,0.9944938531737411,-0.004730152881762151,0.00550614682625894,0.9950300917209791,0.997175045909931,0.0028249540900689984,-0.012212227242061946
gaussian,0.035,1.035,0.9992240060555032,0.9942173099534876,-0.005006696102015651,0.00578269004651244,0.9947854965773836,0.9970582430729676,0.0029417569270323574,-0.012786458860177596
gaussian,0.036000000000000004,1.036,0.9992240060555032,0.993933257447191,-0.005290748608312246,0.006066742552809035,0.9945343166887198,0.9969385536548351,0.00306144634516492,-0.01337027471314478
gaussian,0.037000000000000005,1.037,0.9992240060555032,0.9936417262955407,-0.005582279759962505,0.006358273704459294,0.9942765828195779,0.996816008915726,0.0031839910842740293,-0.01396360207257974
gaussian,0.03799999999999999,1.038,0.9992240060555032,0.993342747344852,-0.00588125871065126,0.006657252655148049,0.9940123259523321,0.9966906403822535,0.003309359617746477,-0.014566367889996101
gaussian,0.03899999999999999,1.039,0.9992240060555032,0.9930363516451823,-0.006187654410320875,0.006963648354817664,0.9937415772851923,0.9965624798452319,0.003437520154768059,-0.01517849880631239
