blockade_shift_mhz,process_fidelity,active_population,no_jump_average_fidelity,phase_corrected_alpha,phase_corrected_beta,phase_fit_success,phase_fit_nit,diagnostic_fixed_nominal_virtual_z_process_fidelity,diagnostic_fixed_nominal_virtual_z_no_jump_average_fidelity,z00_abs,z0c_abs,zcc_abs,z00_phase_rad,z0c_phase_rad,zcc_phase_rad
143.1355919933472,0.9992667774816478,0.9992804418996625,0.9992695103652508,1.580957587066223e-13,2.296813017948529,True,57,0.9992383936124423,0.9992468032698862,1.0,0.9995200803802742,0.9995203776971586,0.0,2.289429839661989,1.4520351653615866
144.66871999395198,0.9992696319454364,0.9992806368869552,0.9992718329337402,1.4210854715202004e-13,2.296053163058118,True,46,0.9992466827821858,0.9992534736031397,1.0,0.9995200803802742,0.9995207678587983,0.0,2.289429839661989,1.4505152584539904
146.2018479945568,0.9992721257756991,0.9992808078989642,0.9992738622003522,1.4033219031261979e-13,2.2953096866114056,True,48,0.9992539356372667,0.9992593100896062,1.0,0.9995200803802742,0.9995211100467454,0.0,2.289429839661989,1.4490281430516805
147.7349759951616,0.9992742774281904,0.9992809537415613,0.9992756126908645,1.4921397450962104e-13,2.2945820794737406,True,50,0.9992602099946721,0.99926435874405,1.0,0.9995200803802742,0.9995214018716487,0.0,2.289429839661989,1.4475727484643102
149.2681039957664,0.999276098147965,0.9992810672398693,0.9992770919663458,1.4921397450962104e-13,2.293869816306863,True,48,0.9992655540011348,0.9992686566488818,1.0,0.9995200803802742,0.9995216289769313,0.0,2.289429839661989,1.4461480629325547
150.8012319963712,0.9992776001314125,0.9992811433060933,0.9992783087663486,1.5276668818842154e-13,2.293172467395163,True,50,0.9992700144810082,0.9992722402460252,1.0,0.9995200803802742,0.9995217811821782,0.0,2.289429839661989,1.4447531332960275
152.334359996976,0.9992788017969524,0.999281184111494,0.9992792782598607,1.4210854715202004e-13,2.292489486612845,True,52,0.99927364240383,0.9992751507453628,1.0,0.9995200803802742,0.9995218628320228,0.0,2.289429839661989,1.443387051956628
153.86748799758078,0.9992797266819092,0.9992811979010399,0.9992800209257353,1.4566126083082054e-13,2.2918205184397973,True,56,0.999276491946949,0.9992774331377671,1.0,0.9995200803802742,0.9995218904243072,0.0,2.289429839661989,1.4420489411028918
155.4006159981856,0.9992803976835504,0.9992811931751843,0.9992805567818772,1.532107773982716e-13,2.2911651003267703,True,48,0.9992786148568176,0.9992791305204909,1.0,0.9995200803802742,0.9995218809680746,0.0,2.289429839661989,1.4407379449060445
156.9337439987904,0.9992808315898676,0.9992811731745237,0.9992808999067988,1.496580637194711e-13,2.290522795842179,True,50,0.9992800550727337,0.9992802786930917,1.0,0.9995200803802742,0.9995218409476182,0.0,2.289429839661989,1.4394532331953533
158.4668719993952,0.9992810380312153,0.9992811347840467,0.9992810573817815,1.4566126083082054e-13,2.2898932786217596,True,50,0.999280847772457,0.9992809051747749,1.0,0.9995200803802742,0.99952176412993,0.0,2.289429839661989,1.4381940112889255
160.0,0.9992810232582837,0.9992810722562444,0.999281033057876,1.425526363618701e-13,2.2892761212418593,True,42,0.999281023258276,0.9992810330578695,1.0,0.9995200803802742,0.9995216390144832,0.0,2.289429839661989,1.43695952680465
161.5331280006048,0.9992807955810988,0.9992809825930011,0.9992808329834793,1.4566126083082054e-13,2.288670932417153,True,56,0.9992806125089609,0.999280686525769,1.0,0.9995200803802742,0.9995214596021564,0.0,2.289429839661989,1.435749067531719
163.0662560012096,0.999280368427449,0.9992808685543241,0.999280468452824,1.4210854715202004e-13,2.288077470745753,True,52,0.9992796503374863,0.9992798939808539,1.0,0.9995200803802742,0.9995212314155797,0.0,2.289429839661989,1.4345619515667203
164.5993840018144,0.999279759079539,0.9992807373573706,0.9992799547351053,1.4299672557172016e-13,2.287495314080844,True,52,0.999278174203939,0.9992786868346254,1.0,0.9995200803802742,0.9995209688959522,0.0,2.289429839661989,1.4333975163593644
166.13251200241922,0.9992789843697085,0.9992805963425905,0.9992793067642849,1.4210854715202004e-13,2.286924190372252,True,53,0.9992762199716632,0.9992770952458485,1.0,0.9995200803802742,0.9995206867311867,0.0,2.289429839661989,1.4322551134560781
167.665640003024,0.9992780565737779,0.9992804488371824,0.9992785350264588,1.4166445794216997e-13,2.286363750815841,True,53,0.9992738178610662,0.9992751440562895,1.0,0.9995200803802742,0.9995203915788563,0.0,2.289429839661989,1.4311341111513642
169.1987680036288,0.9992769822523289,0.999280292960896,0.9992776443940423,1.4432899320127035e-13,2.2858137131275793,True,48,0.9992709913615404,0.9992728516814114,1.0,0.9995200803802742,0.9995200796766441,0.0,2.289429839661989,1.430033901715205
170.7318960042336,0.9992757645117778,0.9992801238479534,0.9992766363790129,1.4432899320127035e-13,2.285273801846002,True,51,0.999267759569838,0.9992702324254612,1.0,0.9995200803802742,0.9995197412883023,0.0,2.289429839661989,1.4289539072445347
172.2650240048384,0.9992744068562558,0.9992799374629606,0.9992755129775969,1.425526363618701e-13,2.2847436946044537,True,55,0.9992641411128942,0.9992673003829076,1.0,0.9995200803802742,0.9995193683391349,0.0,2.289429839661989,1.4278935798437353
173.7981520054432,0.9992729160005981,0.9992797333868924,0.999274279477857,1.496580637194711e-13,2.2842231594353875,True,50,0.9992601570144796,0.9992640722889622,1.0,0.9995200803802742,0.9995189599906498,0.0,2.289429839661989,1.4268523960867163
175.33128000604802,0.999271302025093,0.999279514953803,0.9992729446108349,1.425526363618701e-13,2.283711937080964,True,50,0.9992558308864543,0.999260567699924,1.0,0.9995200803802742,0.9995185229141242,0.0,2.289429839661989,1.4258298494165755
176.8644080066528,0.9992695761642899,0.9992792870250019,0.9992715183364324,1.4832579608992091e-13,2.283209803249031,True,54,0.9992511867477099,0.9992568068031682,1.0,0.9995200803802742,0.9995180668368272,0.0,2.289429839661989,1.4248254449853135
178.3975360072576,0.999267747982167,0.9992790531463145,0.9992700090149965,1.3722356584366935e-13,2.2827164927119954,True,50,0.9992462462358712,0.99925280761796,1.0,0.9995200803802742,0.9995175988538066,0.0,2.289429839661989,1.4238386992881082
179.9306640078624,0.9992658238253874,0.9992788139774142,0.9992684218557928,1.461053500406706e-13,2.282231772617843,True,48,0.999241027108583,0.9992485844823491,1.0,0.9995200803802742,0.9995171202850293,0.0,2.289429839661989,1.4228691435929162
181.4637920084672,0.9992638073562062,0.999278567797733,0.9992667594445116,1.389999226830696e-13,2.281755420415047,True,58,0.9992355438299974,0.9992441486235444,1.0,0.9995200803802742,0.9995166276876803,0.0,2.289429839661989,1.4219163279104075
182.996920009072,0.9992617015068621,0.9992783124368982,0.9992650236928693,1.4699352846037073e-13,2.2812872076322996,True,49,0.999229809572459,0.9992395101453468,1.0,0.9995200803802742,0.9995161167188921,0.0,2.289429839661989,1.4209798223928958
