omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
10.0,0.0,160.0,100,360,0.0001,0.0001,0.9991910040650152,0.9991910040650152,0.9991910330024126,0.9991911487520027,0.0008088512479973442,True,True,54,-0.04683013561002473,1.709883041483542
10.0,0.0,170.0,100,360,0.0001,0.0001,0.9991506858668008,0.9991506858668008,0.9991507022556083,0.9991507678108386,0.0008492321891614418,True,True,177,4.102703330500525e-14,-1.3851351336676065
10.0,0.0,180.0,100,360,0.0001,0.0001,0.999141962469139,0.999141962469139,0.99914197904233,0.9991420453350943,0.0008579546649056802,True,False,360,-7.348223787205228e-12,-1.310853831893605
10.0,0.0,190.0,100,360,0.0001,0.0001,0.9990892851552242,0.9990892851552242,0.9990893069721641,0.9990893942399238,0.0009106057600761774,True,True,157,0.04773838341919428,-1.095954673392161
10.0,0.0,210.0,100,360,0.0001,0.0001,0.9990129718213862,0.9990129718213862,0.999012991789936,0.9990130716641356,0.0009869283358644454,True,True,97,0.0017332359430111805,-0.8228111159585366
10.0,0.0,240.0,100,360,0.0001,0.0001,0.9990610565806191,0.9990610565806191,0.9990610716795594,0.9990611320753202,0.0009388679246797871,True,True,320,-4.618023462995438e-13,-0.708118560645193
10.0,10.0,120.0,100,360,0.0001,0.0001,0.9631168243735372,0.9631168243735372,0.9633543391047024,0.9643043980293629,0.03569560197063715,False,True,65,4.3050499517836193e-13,2.3844302049231016
10.0,10.0,135.0,100,360,0.0001,0.0001,0.9992921811870177,0.9992921811870177,0.9992921953660788,0.9992922520823233,0.0007077479176766932,True,True,70,-0.03584605501038291,2.17785984051227
10.0,10.0,150.0,100,360,0.0001,0.0001,0.9992593976773931,0.9992593976773931,0.9992594068562987,0.9992594435719211,0.000740556428078909,True,True,66,-0.00409993153534419,1.9490502670398433
10.0,10.0,160.0,100,360,0.0001,0.0001,0.99923067218348,0.99923067218348,0.9992306890756936,0.9992307566445475,0.0007692433554524758,True,True,74,-0.0341780186517611,1.8526270844967478
10.0,10.0,170.0,100,360,0.0001,0.0001,0.9991991638088412,0.9991991638088412,0.9991991814897545,0.9991992522134083,0.0008007477865916712,True,True,12,3.0215502341995513e-13,1.7776568321651913
10.0,10.0,180.0,100,360,0.0001,0.0001,0.9991554044656523,0.9991554044656523,0.9991554251100357,0.999155507687569,0.000844492312431,True,True,14,1.090785622966696e-13,1.6664060446639861
10.0,10.0,190.0,100,360,0.0001,0.0001,0.9991055885480499,0.9991055885480499,0.9991056137474343,0.9991057145449721,0.0008942854550278989,True,True,67,0.005682922500935044,1.512311705257437
10.0,10.0,210.0,100,360,0.0001,0.0001,0.9990549860386027,0.9990549860386027,0.9990550029418935,0.9990550705550575,0.0009449294449425105,True,True,84,-0.022589663227116384,1.1922899483737297
10.0,10.0,240.0,100,360,0.0001,0.0001,0.998995813263052,0.998995813263052,0.9989958385673028,0.9989959397843058,0.0010040602156942136,False,True,82,-0.028997759965623596,0.9679727495155582
10.0,20.0,120.0,100,360,0.0001,0.0001,0.8925231487965233,0.8925231487965233,0.8946615856211126,0.9032153329194702,0.0967846670805298,False,True,12,4.552842240974457e-14,-2.3370032826025793
10.0,20.0,135.0,100,360,0.0001,0.0001,0.975471524661755,0.975471524661755,0.9757397310360716,0.9768125565333382,0.023187443466661795,False,True,18,-1.5310917396110393e-13,-2.1424218491231444
10.0,20.0,150.0,100,360,0.0001,0.0001,0.999286896842191,0.999286896842191,0.9992869070367693,0.9992869478150823,0.0007130521849176841,True,True,348,2.720952848095886e-12,2.1071877211912717
10.0,20.0,160.0,100,360,0.0001,0.0001,0.9992651322929226,0.9992651322929226,0.9992651465681386,0.9992652036690021,0.0007347963309979333,True,True,67,0.031017781481263815,1.9620382902518083
10.0,20.0,170.0,100,360,0.0001,0.0001,0.9992360396938266,0.9992360396938266,0.9992360500405703,0.9992360914275447,0.0007639085724553407,True,True,66,0.03372265963523813,1.860380789829688
10.0,20.0,180.0,100,360,0.0001,0.0001,0.9991984060498377,0.9991984060498377,0.99919842314284,0.9991984915148491,0.0008015084851509258,True,True,15,2.163197816610505e-13,1.7724560788079098
10.0,20.0,190.0,100,360,0.0001,0.0001,0.9991631291532913,0.9991631291532913,0.999163150522732,0.9991632360004947,0.0008367639995052745,True,True,68,-0.004235353316004902,-1.5275154004070448
10.0,20.0,210.0,100,360,0.0001,0.0001,0.9991245371244344,0.9991245371244344,0.9991245542023529,0.999124622514027,0.0008753774859729946,True,True,112,-0.06303244877439487,-1.3063802006708276
10.0,20.0,240.0,100,360,0.0001,0.0001,0.9989978444227865,0.9989978444227865,0.9989978683889913,0.9989979642538107,0.0010020357461892893,False,True,89,-0.02097869560743326,-0.7742053768360696
10.0,40.0,120.0,100,360,0.0001,0.0001,0.7054310698991607,0.7054310698991607,0.7363689883821625,0.8601206623141693,0.13987933768583072,False,True,38,0.0027679931786042072,-2.4275407898226984
10.0,40.0,135.0,100,360,0.0001,0.0001,0.8335281511140108,0.8335281511140108,0.8372399699923744,0.8520872455058289,0.14791275449417107,False,True,103,3.272696634891557e-13,-2.5166025835718817
10.0,40.0,150.0,100,360,0.0001,0.0001,0.9336690148010748,0.9336690148010748,0.9342547337170917,0.9365976093811592,0.06340239061884079,False,True,18,-6.209875552483547e-13,2.4494431121670432
10.0,40.0,160.0,100,360,0.0001,0.0001,0.9820823926083495,0.9820823926083495,0.982162213567964,0.9824814974064218,0.017518502593578233,False,True,15,1.4244367936718188e-13,2.337048935970722
10.0,40.0,170.0,100,360,0.0001,0.0001,0.9992821616937421,0.9992821616937421,0.9992821703714195,0.9992822050821293,0.0007177949178707177,True,True,99,1.3161065542026992e-13,2.274235436054976
10.0,40.0,180.0,100,360,0.0001,0.0001,0.9992707150512835,0.9992707150512835,0.9992707369590212,0.9992708245899721,0.0007291754100279269,True,True,78,-0.01085082857346725,1.9979024916954589
10.0,40.0,190.0,100,360,0.0001,0.0001,0.9992436416774161,0.9992436416774161,0.9992436522914756,0.9992436947477141,0.0007563052522858715,True,True,74,-0.007863089446420743,1.8921929952792695
10.0,40.0,210.0,100,360,0.0001,0.0001,0.9991666197353676,0.9991666197353676,0.9991666380644585,0.999166711380822,0.0008332886191779743,True,True,79,0.011618228794892634,1.7087979421895407
10.0,40.0,240.0,100,360,0.0001,0.0001,0.9990462459390476,0.9990462459390476,0.9990463269519692,0.9990466510036558,0.0009533489963442499,True,False,360,1.9037101056026334e-13,1.8031287661823507
10.0,80.0,180.0,100,360,0.0001,0.0001,0.8183651528733084,0.8183651528733084,0.8223547707528857,0.8383132422711947,0.16168675772880525,False,True,117,-1.5873556728876528e-13,-2.5844329032037376
10.0,80.0,190.0,100,360,0.0001,0.0001,0.8884330166523227,0.8884330166523227,0.8906679730313943,0.8996077985476807,0.10039220145231931,False,True,21,-1.7857204112133995e-13,-2.3559829462464728
10.0,80.0,210.0,100,360,0.0001,0.0001,0.9902289656700991,0.9902289656700991,0.9902619643892262,0.9903939592657343,0.009606040734265742,False,True,164,-4.4658597532448943e-13,2.308381933461953
10.0,80.0,240.0,100,360,0.0001,0.0001,0.999223701373429,0.999223701373429,0.9992237194724345,0.9992237918684562,0.0007762081315437763,True,True,346,2.6163428171959946e-12,1.8593571029405336
20.0,0.0,60.0,100,360,0.0001,0.0001,0.9996227189595515,0.9996227189595515,0.99962272479462,0.9996227481348942,0.0003772518651058432,True,True,74,-2.4469809112381107e-14,2.3875601986044646
20.0,0.0,75.0,100,360,0.0001,0.0001,0.999618195383111,0.999618195383111,0.9996181997508264,0.9996182172216879,0.00038178277831213414,True,True,18,2.9368126509114023e-13,1.9681967543139023
20.0,0.0,90.0,100,360,0.0001,0.0001,0.9995555898064328,0.9995555898064328,0.9995555950484334,0.9995556160164365,0.00044438398356350106,True,True,74,0.03088312276175678,1.654742969150312
20.0,0.0,105.0,100,360,0.0001,0.0001,0.9995011275572321,0.9995011275572321,0.9995011319175905,0.999501149359024,0.0004988506409759896,True,True,64,0.032030307988684975,1.155203154682183
20.0,0.0,120.0,100,360,0.0001,0.0001,0.9994880892358402,0.9994880892358402,0.9994880964703012,0.9994881254081456,0.0005118745918544221,True,True,11,7.176121174570491e-13,0.951797627181423
20.0,0.0,135.0,100,360,0.0001,0.0001,0.9994271968743553,0.9994271968743553,0.9994272117464582,0.9994272712348695,0.0005727287651304813,True,False,360,-6.540031205211162e-14,2.6386725070205324
20.0,0.0,150.0,100,360,0.0001,0.0001,0.9991866091544072,0.9991866091544072,0.9991866215282501,0.9991866710236216,0.0008133289763784246,True,False,360,1.0990367853464491e-12,-1.3290082168403143
20.0,0.0,160.0,100,360,0.0001,0.0001,0.999249966401669,0.999249966401669,0.9992499771178874,0.9992500199827609,0.000749980017239138,True,False,360,0.030651193000528446,1.0460290047110012
20.0,0.0,170.0,100,360,0.0001,0.0001,0.9991116527262759,0.9991116527262759,0.999111665994248,0.9991117190661369,0.0008882809338630615,True,True,120,-0.03188056116637027,0.5604677054477795
