omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
5.0,80.0,360.0,64,360,0.0001,0.0001,0.9985407371349256,0.9985407371349256,0.9985407775818669,0.9985409393696313,0.0014590606303687137,False,False,360,1.4231801933305689e-12,1.9418046339238824
5.0,80.0,380.0,64,360,0.0001,0.0001,0.9984932471146196,0.9984932471146196,0.9984933076498846,0.9984935497909446,0.0015064502090553766,False,True,200,1.1626735145204375e-12,1.8150066354114185
10.0,0.0,120.0,64,360,0.0001,0.0001,0.9991490915852986,0.9991490915852986,0.9991492980192141,0.9991501237548768,0.0008498762451232267,True,True,50,-3.5830926969316164e-14,2.276830985271295
10.0,0.0,135.0,64,360,0.0001,0.0001,0.9992653601877038,0.9992653601877038,0.9992653786115049,0.9992654523067096,0.0007345476932903994,True,True,196,1.6566079523315246e-13,1.9711671210169257
10.0,0.0,150.0,64,360,0.0001,0.0001,0.9992172514337001,0.9992172514337001,0.9992172669127676,0.9992173288290374,0.0007826711709626455,True,True,15,1.6340458916308498e-13,1.822644514190566
10.0,0.0,160.0,64,360,0.0001,0.0001,0.9991907224075746,0.9991907224075746,0.9991907524362251,0.999190872550827,0.0008091274491730527,True,True,82,-1.6227163627968846e-14,1.7130528249731485
10.0,0.0,170.0,64,360,0.0001,0.0001,0.9991429500281076,0.9991429500281076,0.9991429706895245,0.999143053335192,0.000856946664807956,True,True,16,-1.4769683332545485e-14,1.5600853561564532
10.0,0.0,180.0,64,360,0.0001,0.0001,0.9991283996998974,0.9991283996998974,0.9991284185294516,0.9991284938476686,0.0008715061523314471,True,True,357,2.5077605920643892e-12,-1.3748747902941316
10.0,0.0,190.0,64,360,0.0001,0.0001,0.9990770431191628,0.9990770431191628,0.9990770591119288,0.9990771230829929,0.0009228769170070983,True,True,90,2.412132112006859e-12,-1.1048618383927629
10.0,0.0,210.0,64,360,0.0001,0.0001,0.9990106043254517,0.9990106043254517,0.9990106211710913,0.9990106885536496,0.0009893114463503938,True,True,282,3.3511036942232007e-12,-0.8313541420941913
10.0,0.0,240.0,64,360,0.0001,0.0001,0.9990129095813948,0.9990129095813948,0.9990129772843293,0.9990132480960671,0.0009867519039329364,True,False,360,2.474419293401296e-13,-0.9789677948576886
10.0,10.0,120.0,64,360,0.0001,0.0001,0.9600914785150632,0.9600914785150632,0.9603593779281903,0.9614309755806986,0.038569024419301434,False,True,61,2.4010488652818952e-14,2.3914527174671263
10.0,10.0,135.0,64,360,0.0001,0.0001,0.999291592713434,0.999291592713434,0.999291603350821,0.9992916459003689,0.0007083540996311033,True,True,136,3.7050204760949196e-13,2.211389437433789
