omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,fidelity,process_fidelity,active_population,leakage,cz_phase_error_rad,passed,success,num_iter,alpha,beta
5.0,40.0,240.0,100,240,0.8955175562677729,0.8916117845122954,0.9111406432896829,0.08885935671031708,-0.5766293921154269,False,True,85,1.5811249429847827e-13,-2.3117017191864515
5.0,40.0,300.0,100,240,0.9999999848826902,0.9999999844636097,0.999999986559012,1.3440987989277176e-08,-0.00018235404281075063,True,True,92,2.8388649841458786e-13,-2.3315649194735832
5.0,40.0,380.0,100,240,0.9999999645326815,0.9999999622438328,0.9999999736880762,2.6311923750910182e-08,0.00014716806266168447,True,False,240,-3.3806266805398434e-14,-1.6035969201726485
5.0,40.0,480.0,100,240,0.9999999311293294,0.9999999252209623,0.999999954762798,4.523720198434944e-08,-0.0005940330238214386,True,False,240,2.9303189671619086e-13,-1.758122147292045
5.0,40.0,600.0,100,240,0.9999998967204415,0.9999998966550192,0.9999998969821311,1.0301786890209996e-07,-7.223096462594114e-05,True,True,207,1.436585725852808e-13,-1.5244366296996625
5.0,40.0,760.0,100,240,0.9999999786161837,0.9999999781424483,0.9999999805111255,1.948887451419523e-08,0.00019089461951571352,True,False,240,2.7665827804926337e-13,-0.4622272857794515
5.0,80.0,200.0,100,240,0.6454994820041297,0.561514332667121,0.9814400793521643,0.018559920647835737,-2.8520281592299956,False,True,148,-9.32316367278304e-13,-1.9159574300485795
5.0,80.0,240.0,100,240,0.7384233139240433,0.696383834674502,0.9065812309222081,0.0934187690777919,-2.007000174972854,False,True,128,-1.9344499819300955e-13,-2.2527568041322845
5.0,80.0,300.0,100,240,0.9346655524303887,0.9333440901013433,0.9399514017465708,0.06004859825342923,0.3263810464881711,False,True,71,1.1431252156302897e-13,2.359732053568446
5.0,80.0,380.0,100,240,0.9999999857195275,0.9999999852177057,0.9999999877268149,1.2273185134858977e-08,0.0001988192556758861,True,True,18,1.1962841768531093e-13,2.86608243519218
5.0,80.0,480.0,100,240,0.999999904628196,0.9999999013485383,0.9999999177468266,8.225317338350635e-08,-0.00043335353257223375,True,False,240,-3.0409898529486786e-13,3.082575799962516
5.0,80.0,600.0,100,240,0.9999991337408913,0.9999991141631545,0.9999992120518388,7.879481611627881e-07,0.0012351571882813772,True,False,240,-1.9152400850526918e-13,3.1410898881590428
5.0,80.0,760.0,100,240,0.9999993330547741,0.9999993121314384,0.9999994167481165,5.832518834569811e-07,0.00122693338702895,True,False,240,-2.2987112467671455e-13,-1.6105147545966907
10.0,0.0,60.0,100,240,0.677528959417679,0.607100682925091,0.959242065388031,0.04075793461196897,-2.6033470517911477,False,True,66,3.028426649889079e-13,-2.014559953382791
10.0,0.0,80.0,100,240,0.7931935787115314,0.7731539346290159,0.873352155041593,0.12664784495840697,-1.3737129814806492,False,True,40,-2.7788367627515447e-14,-2.3442490582136926
10.0,0.0,100.0,100,240,0.9248612232372994,0.9234471765032822,0.9305174101733674,0.06948258982663258,0.3376553662773025,False,True,25,-5.601996194160454e-15,2.4352263273078996
10.0,0.0,120.0,100,240,0.9998622868437188,0.9998619286589104,0.9998637195829527,0.00013628041704727423,0.005348383338091622,True,True,25,-7.253065231517674e-14,2.2772269009224497
10.0,0.0,150.0,100,240,0.9999999882170547,0.9999999875940633,0.9999999907090203,9.290979652298859e-09,0.0002228734686395839,True,True,119,-9.552391735606441e-14,1.844582945293866
10.0,0.0,190.0,100,240,0.9999999918141441,0.9999999907843284,0.9999999959334067,4.06659328433534e-09,0.0002863460956747943,True,True,172,2.7736195527167885e-13,-1.063010251650146
10.0,0.0,240.0,100,240,0.999999734884312,0.9999997256649146,0.9999997717619022,2.2823809775474047e-07,-0.0007074598724456926,True,False,240,-4.4872499427714077e-13,-0.5225043626036534
10.0,0.0,300.0,100,240,0.9999999942469777,0.9999999938253379,0.9999999959335376,4.066462389040737e-09,-0.0001833137347020397,True,True,235,1.0854724689799531e-13,1.2466056909475407
10.0,0.0,380.0,100,240,0.9999999967719887,0.9999999967560178,0.9999999968358727,3.1641272935090115e-09,1.713578134143745e-05,True,True,102,1.3932504829846625e-13,1.0944924253343615
10.0,10.0,60.0,100,240,0.6353007217650062,0.5472702305365365,0.9874226866788853,0.01257731332111467,-2.924193237299588,False,True,151,-6.844203839149895e-13,-1.8476225014016125
10.0,10.0,80.0,100,240,0.7147883347994879,0.6613761167910542,0.9284372068332225,0.0715627931667775,-2.263268322550263,False,True,64,4.395871365971131e-14,-2.1401440911668033
10.0,10.0,100.0,100,240,0.8425271322715184,0.8328384357727339,0.8812819182666567,0.1187180817333433,-0.9351545681910602,False,True,63,4.384317657809575e-13,-2.329681359333707
10.0,10.0,120.0,100,240,0.9640567548114252,0.9636462897912526,0.9656986148921158,0.034301385107884164,0.17841525626596866,False,True,77,-5.238758486680717e-14,2.366518395261474
10.0,10.0,150.0,100,240,0.9999999608859038,0.9999999542276478,0.9999999875189282,1.2481071842707081e-08,-0.0007298095007914895,True,True,199,-3.549800791309497e-13,2.0123739557792124
