FigS2b_RealIntensity_x,FigS2b_RealIntensity_y,FigS2b_RealIntensity_yerr,FigS2b_TargetIntensity_x,FigS2b_TargetIntensity_y,FigS2c_RealPhase_x,FigS2c_RealPhase_y,FigS2c_RealPhase_yerr,FigS2c_TargetPhase_x,FigS2c_TargetPhase_y
0.2112166380454136,0.13543558906447536,0.007991551158244632,0.021121663804541363,6.0827947434135606e-05,0.360310735489235,0.5157903691535295,0.010581834542856602,0.021121663804541363,0.009445958416910557
0.22364114616573205,0.18185559159058248,0.012540532099980057,0.022364114616573207,6.776375292607681e-05,0.37273524360955346,0.5821628682058092,0.012214409903347368,0.022364114616573207,0.009799060824571442
0.2360656542860505,0.24415850144791115,0.012943328708472951,0.02360656542860505,7.507392500055578e-05,0.3851597517298719,0.6583021901036907,0.010807553451410027,0.02360656542860505,0.010134500729578593
0.24849016240636895,0.31608557503796236,0.009437121714747854,0.024849016240636897,8.280056009079313e-05,0.39758425985019036,0.7296704460200406,0.010654638167964149,0.024849016240636897,0.010452673498761056
0.2609146705266874,0.3771954318578373,0.012530661990982359,0.026091467052668738,9.30800253597764e-05,0.4100087679705088,0.800998639261376,0.009251941290966128,0.026091467052668738,0.010754013205298592
0.27333917864700585,0.45293992642874603,0.011250294874921638,0.027333917864700585,0.00010396079518854784,0.4224332760908272,0.8462589671322945,0.008636742356429703,0.027333917864700585,0.011038988030164577
0.28576368676732433,0.5522260485250675,0.012243834091571055,0.02857636867673243,0.00011544286957710746,0.4348577842111456,0.8929364120519443,0.007949013946353922,0.02857636867673243,0.01130809590692191
0.29818819488764275,0.6201444591009229,0.013482408476500105,0.029818819488764272,0.0001275262485254552,0.4472822923314641,0.9201390754032929,0.007567236247448251,0.029818819488764272,0.011561860402022513
0.3106127030079612,0.7344071451683822,0.02043800663229598,0.03106127030079612,0.0001402109320335912,0.4597068004517826,0.9415343458562538,0.008581481179319334,0.03106127030079612,0.011800826822931489
0.32303721112827966,0.8024998055382402,0.013401653933743683,0.03230372111282796,0.00015349692010151525,0.472131308572101,0.9669516082628632,0.007232365629231622,0.03230372111282796,0.012025558546565163
0.3354617192485981,0.8754124907955215,0.012408531709373269,0.033546171924859806,0.00016738421272922757,0.4845558166924195,0.9697251518662755,0.010276534543713764,0.033546171924859806,0.012236633560697631
0.3478862273689165,0.9507943528808626,0.02058238893630083,0.03478862273689165,0.00018187280991672795,0.4969803248127379,0.9434682433161574,0.012538154281825462,0.03478862273689165,0.012434641211153345
0.360310735489235,0.9954613980101493,0.018547962166544592,0.0360310735489235,0.0001969627116640166,0.5094048329330564,0.9179720161204358,0.008118126036240257,0.0360310735489235,0.012620179147763652
0.37273524360955346,1.0201983344272612,0.01777320309083963,0.037273524360955344,0.00021277599465250292,0.5218293410533748,0.9006063684724529,0.00983951843978514,0.037273524360955344,0.01279385046222315
0.3851597517298719,1.0672613352681575,0.022180493878853878,0.03851597517298719,0.00023331534609646103,0.5342538491736932,0.8399908772655076,0.01230887828025531,0.03851597517298719,0.012956261011137046
0.39758425985019036,1.0479069536365238,0.014526694294690617,0.03975842598501903,0.00025480089115542865,0.5466783572940117,0.7495995085648793,0.011174517784567493,0.03975842598501903,0.013108016917703873
0.4100087679705088,1.0229726549308886,0.012746396103960299,0.041000876797050875,0.0002772326298294056,0.5591028654143302,0.6677982750267892,0.012895740723877462,0.041000876797050875,0.013249722245628261
0.4224332760908272,1.0024776536691202,0.010096730710370282,0.042243327609082726,0.00030061056211839224,0.5715273735346487,0.5650593215476991,0.011343588962480899,0.042243327609082726,0.013381976839006904
0.4348577842111456,1.0512465518996192,0.019207285573884823,0.04348577842111456,0.00032493468802238817,0.583951881654967,0.4543976147679434,0.015982611560314164,0.04348577842111456,0.013505374322076524
0.4472822923314641,1.0433779690563003,0.01959262049016332,0.04472822923314641,0.0003502050075413939,0.5963763897752855,0.3486136888187209,0.020080767947299242,0.04472822923314641,0.013620500252856204
0.4597068004517826,1.0168174590432788,0.014049254186636984,0.04597068004517826,0.00037642152067540887,0.6088008978956039,0.22488819864399892,0.01445144412014685,0.04597068004517826,0.013727930424857695
0.472131308572101,1.0519369508763334,0.012489258893130127,0.0472131308572101,0.0004035842274244334,0.6212254060159224,0.12912489129598032,0.015820350239896946,0.0472131308572101,0.013828229311176148
0.4845558166924195,1.019392507604645,0.017917454064461352,0.048455581669241944,0.00043169312778846734,0.6336499141362408,0.014891518015527768,0.01607289505762925,0.048455581669241944,0.013921948645410407
0.4969803248127379,1.002851237092754,0.02154266544694537,0.049698032481273795,0.0004610335200415951,0.6460744222565593,-0.11731580856869711,0.016814294819051608,0.049698032481273795,0.014009626133996474
0.5094048329330564,1.0224565385047155,0.023916628008956317,0.05094048329330564,0.0004984336184345712,0.6584989303768778,-0.20800709398458161,0.012068098322988746,0.05094048329330564,0.014091784294669979
0.5218293410533748,1.030104211034997,0.01733562774932123,0.052182934105337475,0.000537292129571062,0.6709234384971962,-0.2973497399274174,0.012184218391327524,0.052182934105337475,0.014168929415903394
0.5342538491736932,1.0077841258168152,0.017314593408758575,0.053425384917369326,0.0005776090534510671,0.6833479466175146,-0.3976712080652923,0.01180597455903515,0.053425384917369326,0.014241550632291893
0.5466783572940117,1.0078317339594112,0.017992492539492023,0.05466783572940117,0.0006193843900745866,0.695772454737833,-0.4721007607282303,0.011401677343452193,0.05466783572940117,0.014310119110987254
0.5591028654143302,1.0168660798348714,0.013568202648933155,0.05591028654143301,0.0006626181394416206,0.7081969628581515,-0.538193708180589,0.011001264780112057,0.05591028654143301,0.014375087344403013
0.5715273735346487,0.9947408393942928,0.015784494062827,0.05715273735346486,0.0007073103015521687,0.72062147097847,-0.5873086492480123,0.008738453764751962,0.05715273735346486,0.014436888544535592
