Fig2a_population_x,Fig2a_population_y,Fig2a_population_yerr,Fig2a_|0>_x,Fig2a_|0>_y,Fig2a_|0>_yerr,Fig2a_|1>_x,Fig2a_|1>_y,Fig2a_|1>_yerr,Fig2b_ScatterRates_x,Fig2b_ScatterRates_y,Fig2b_ScatterRates_yerr,Fig2c_1S0population_x,Fig2c_1S0population_y,Fig2c_1S0population_yerr,Fig2d_dark_counts,Fig2d_dark_bins,Fig2d_bright_counts,Fig2d_bright_bins,Fig2g_P(err.|det.)_x,Fig2g_P(err.|det.)_y,Fig2g_P(err.|det.)_yerr,Fig2g_(e-e_c)/e_x,Fig2g_(e-e_c)/e_y,Fig2g_(e-e_c)/e_yerr,Fig2e_raw_x,Fig2e_raw_y,Fig2e_raw_yerr,Fig2e_eraure_x,Fig2e_eraure_y,Fig2e_eraure_yerr,Fig2e_survival_x,Fig2e_survival_y,Fig2e_survival_yerr,Fig2d_399on_x,Fig2d_399on_y,Fig2d_399on_yerr
3.0,0.3401015228426396,0.0337527947331514,1.5,0.5255972696245734,0.0291720084046501,1.5,0.0173611111111111,0.0076964329156657,,,,,,,42.0,520.0,14.0,520.0,1887.5,1.0,0.0,1887.5,0.3103071860328329,0.0472266318358193,,,,,,,,,,,,
4.0,0.2110552763819095,0.0289264312626756,1.7,0.5151515151515151,0.0355171342622841,1.7,0.0151898734177215,0.0061539616062605,,,,,,,14.0,620.0,17.0,620.0,2050.0,1.0,0.0,2050.0,0.2772254323218882,0.0475616847705514,,,,,,,,,,,,
6.0,0.1134020618556701,0.0227652785698676,2.0,0.4102564102564102,0.03522426961263,2.0,0.0100755667506297,0.0050123398622719,,,,,,,10.0,720.0,23.0,720.0,2212.5,1.0,0.0,2212.5,0.2439633561673869,0.0465263278445169,,,,,,,,,,,,
8.0,0.0404040404040404,0.0197896906951265,2.5,0.3487179487179487,0.0341274940638246,2.5,0.0153846153846153,0.0088137215266391,,,,,,,3.0,820.0,39.0,820.0,2375.0,1.0,0.0,2375.0,0.2136588177455406,0.0463053089141533,,,,,,,,,,,,
,,,3.0,0.3147208121827411,0.0330874569883854,3.0,0.025,0.0071260964068696,,,,,,,1.0,920.0,47.0,920.0,2537.5,1.0,0.0,2537.5,0.1852485746000232,0.049906507346983,,,,,,,,,,,,
,,,3.5,0.2755102040816326,0.0319122146924047,3.5,0.0102564102564102,0.0072150897092926,,,,,,,0.0,1020.0,52.0,1020.0,2700.0,1.0,0.0,2700.0,0.1605305531514771,0.0510530132728823,,,,,,,,,,,,
,,,4.0,0.2082262210796915,0.0205870190172562,4.0,0.0176211453744493,0.0050417698175356,,,,,,,0.0,1120.0,73.0,1120.0,2862.5,1.0,0.0,2862.5,0.1334828374447425,0.0549359815919301,,,,,,,,,,,,
,,,4.5,0.1767676767676767,0.0271100325476849,4.5,0.005050505050505,0.0050377351057951,,,,,,,0.0,1220.0,79.0,1220.0,3025.0,1.0,0.0,3025.0,0.1121319597907577,0.0581841364034185,,,,,,,,,,,,
,,,6.0,0.0804020100502512,0.0192755119505405,6.0,0.0052083333333333,0.0051947522585007,,,,,,,0.0,1320.0,87.0,1320.0,3187.5,1.0,0.0,3187.5,0.0952313528956965,0.0575613739124285,,,,,,,,,,,,
,,,8.0,0.0303030303030303,0.0172283407156048,8.0,0.0051282051282051,0.0051150389829169,,,,,,,1.0,1420.0,82.0,1420.0,3350.0,1.0,0.0,3350.0,0.0759522969937748,0.0585489931414714,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,1520.0,98.0,1520.0,3512.5,1.0,0.0,3512.5,0.0593420036619749,0.0607176645953112,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,1620.0,99.0,1620.0,3675.0,1.0,0.0,3675.0,0.0521173377936894,0.0606255825787989,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,1720.0,107.0,1720.0,3837.5,1.0,0.0,3837.5,0.0391102087181466,0.0623544556713341,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,1820.0,90.0,1820.0,4000.0,1.0,0.0,4000.0,0.0292010211124308,0.0623692286818301,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,1920.0,103.0,1920.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2020.0,106.0,2020.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2120.0,102.0,2120.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0,2220.0,92.0,2220.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2320.0,96.0,2320.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2420.0,79.0,2420.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2520.0,90.0,2520.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2620.0,88.0,2620.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2720.0,81.0,2720.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2820.0,86.0,2820.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,2920.0,71.0,2920.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3020.0,78.0,3020.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3120.0,82.0,3120.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3220.0,82.0,3220.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3320.0,55.0,3320.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3420.0,49.0,3420.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,3520.0,52.0,3520.0,,,,,,,,,,,,,,,,,,
